title,emp_no,first_name,last_name
Staff,10326,Masali,Czap
Engineer,10327,Roded,Facello
Engineer,10328,Serenella,Kawashima
Senior Engineer,10333,Snehasis,Dymetman
Senior Staff,10340,Djelloul,Laventhal
Senior Engineer,10343,Dinah,Syrzycki
Staff,10347,Pradeep,Kaminger
Senior Staff,10349,Oksana,Brodie
Engineer,10350,Kristen,Kavvadias
Senior Staff,10353,Phule,Hammerschmidt
Staff,10355,Satyanarayana,Cochrane
Senior Staff,10356,Vasilis,Standera
Technique Leader,10358,Qunsheng,Tagansky
Assistant Engineer,10363,Toshiki,Muniz
Senior Engineer,10364,Nakhoon,Dengi
Senior Staff,10367,Hyuckchul,Gini
Technique Leader,10372,Anneli,Frijda
Staff,10374,Willard,Rosin
Senior Engineer,10377,Marl,Grospietsch
Engineer,10382,Shirish,Dredge
Senior Staff,10387,Parto,Wrigley
Staff,10388,Hironoby,Kaiser
Technique Leader,10389,Make,Peir
Engineer,10395,Takahiro,Deverell
Senior Engineer,10396,Sibyl,Rahier
Technique Leader,10397,Irena,Reutenauer
Technique Leader,10402,Volkmar,Ebeling
Senior Engineer,10404,Prodip,Rosti
Senior Staff,10407,Ulf,Siepmann
Senior Staff,10413,Danel,Impagliazzo
Senior Engineer,10414,Yinlin,Alpin
Staff,10418,Candida,Porotnikoff
Engineer,10422,Greger,Rubsam
Technique Leader,10426,Arunas,Luce
Senior Engineer,10429,Martien,Improta
Senior Staff,10432,Hisao,Tiemann
Engineer,10433,Reuven,Dengi
Senior Staff,10442,Volkmar,Unno
Senior Engineer,10443,Shichao,Litvinov
Senior Engineer,10451,Bodh,Ranta
Senior Staff,10453,Tsvetan,Matzel
Staff,10463,Ung,Zaiane
Staff,10466,Jiakeng,Himler
Senior Engineer,10477,Guoxiang,Trogemann
Senior Engineer,10486,Amstein,Kossowski
Senior Engineer,10494,Yakkov,Servieres
Senior Engineer,10497,Pramod,Rabehasaina
Senior Staff,10499,Maik,Luft
Engineer,10503,Dannz,Pell
Staff,10504,Xiong,Varker
Senior Staff,10509,Abdelwaheb,Riesenhuber
Senior Staff,10512,Udi,Gihr
Senior Staff,10517,Tiina,Speek
Senior Staff,10519,Yonghoan,Alencar
Senior Staff,10522,Marke,Cesareni
Assistant Engineer,10529,Ymte,Yetto
Staff,10531,Oguz,Gimbel
Senior Engineer,10538,Przemyslawa,Falby
Staff,10541,Godehard,Eiter
Senior Engineer,10542,Yannis,Couchot
Senior Staff,10548,Ramalingam,Gunderson
Senior Engineer,10552,Kazuhito,Shiratori
Senior Engineer,10564,Jianhao,Thisen
Staff,10568,Gao,Poulakidas
Senior Engineer,10575,Theirry,Yeung
Senior Engineer,10586,Kirk,Vuskovic
Staff,10591,Hidde,Hettesheimer
Senior Engineer,10593,Falguni,Kenevan
Senior Staff,10596,Sanjit,Coors
Staff,10603,Wayne,Restivo
Senior Engineer,10608,Adhemar,Talmor
Engineer,10610,Irena,Roccetti
Senior Engineer,10614,Gila,Ozeri
Senior Staff,10615,Keung,Delgrande
Senior Staff,10617,Hidekazu,Angel
Senior Engineer,10623,Aleksander,Danlos
Technique Leader,10624,Sham,Gyorkos
Senior Engineer,10628,Krisda,Krogh
Staff,10629,Lalit,Francisci
Engineer,10630,Bezalel,Katzenelson
Engineer,10631,Inderjeet,Chaudhuri
Senior Engineer,10634,Nahid,Chepyzhov
Staff,10636,Saeko,Porotnikoff
Senior Staff,10637,Heejo,Frolund
Senior Engineer,10639,Pramod,Erol
Engineer,10641,Guozhong,Zucker
Engineer,10642,Hirochika,Narlikar
Senior Engineer,10653,Otmar,Feinberg
Senior Staff,10667,Makato,Cusworth
Senior Staff,10671,Parviz,Rebaine
Senior Engineer,10672,Bluma,Zeilberger
Engineer,10676,Valeri,Danley
Senior Engineer,10683,Guiseppe,Stranks
Senior Staff,10693,Berhard,Daescu
Senior Staff,10694,Rildo,Straney
Technique Leader,10696,Unal,Fendler
Senior Engineer,10702,Bader,Szemeredi
Senior Engineer,10712,Uma,Koprowski
Senior Engineer,10718,Adib,Rullman
Senior Engineer,10726,Zita,Minakawa
Senior Staff,10731,Fumitaka,Peak
Engineer,10734,Sachar,Erdi
Senior Staff,10741,Sven,Huttel
Technique Leader,10742,Shim,Wiegley
Senior Engineer,10745,Poorav,Ranze
Senior Engineer,10747,Falguni,Khalid
Senior Engineer,10749,King,Brendel
Technique Leader,10750,Roddy,Demeyer
Engineer,10751,Jordanka,Ushiama
Senior Engineer,10764,Yunming,Beetstra
Staff,10767,Monique,Doering
Senior Engineer,10768,Ishfaq,Candan
Senior Engineer,10777,Mizuhito,Kemmerer
Senior Staff,10778,Selwyn,Merey
Engineer,10780,Goncalo,Staudhammer
Staff,10782,Kish,Perna
Senior Engineer,10791,Tadahiko,Sgarro
Senior Staff,10795,Supot,Naudin
Engineer,10801,Uinam,Zschoche
Senior Engineer,10803,Katsuyuki,Velasco
Senior Engineer,10808,Chenxi,Leijenhorst
Engineer,10811,Ashish,Fortenbacher
Senior Staff,10813,Shalesh,Shumilov
Senior Staff,10814,Nidapan,Dymetman
Senior Engineer,10826,Arnd,Anandan
Staff,10827,Willard,Danley
Staff,10829,Alper,Narahara
Senior Staff,10830,Fen,Fiebach
Technique Leader,10831,Toong,Driscoll
Technique Leader,10833,Krisda,Gecseg
Engineer,10834,Huiqun,Rajcani
Engineer,10835,Tomoyuki,Kermarrec
Senior Staff,10836,Jianhua,Leivant
Engineer,10844,Dipayan,Koprowski
Senior Engineer,10846,Tokuyasu,Serre
Senior Staff,10847,Theirry,Danley
Senior Engineer,10848,Fen,Bratsberg
Engineer,10849,Makato,Mayerwieser
Engineer,10854,Jagoda,Nannarelli
Senior Engineer,10858,Kenroku,Gonthier
Engineer,10867,Billur,Gyorkos
Staff,10871,Aram,Gilg
Senior Staff,10872,Karoline,Speel
Staff,10873,Sukumar,Wegerle
Staff,10876,Vincent,Papastamatiou
Staff,10878,Lakshmi,Deville
Senior Engineer,10879,Muzhong,Chleq
Engineer,10882,Fun,Heuser
Engineer,10883,Shimshon,Champarnaud
Senior Staff,10885,Rayond,Cronau
Senior Engineer,10887,Lunjin,DeMori
Staff,10895,Vishwani,Petersohn
Senior Engineer,10900,Ferdinand,Prenel
Staff,10906,Munehiro,Carrere
Senior Engineer,10909,Georgi,Atchley
Senior Staff,10912,Oscal,Fasbender
Staff,10913,Narain,Thummel
Staff,10918,Susumu,Reghbati
Senior Staff,10920,Ronghao,Narahara
Senior Engineer,10921,Mara,Bahi
Staff,10922,Kyoichi,Wossner
Senior Staff,10924,Hironoby,Atchley
Senior Engineer,10926,Leni,Eppinger
Senior Staff,10927,Gal,Scallan
Senior Engineer,10930,Arch,Minakawa
Senior Engineer,10932,Avishai,Picci
Senior Staff,10936,Mountaz,Schicker
Engineer,10940,Aleksander,Fioravanti
Engineer,10942,Toshimitsu,Larfeldt
Senior Engineer,10943,Berna,Skafidas
Senior Engineer,10944,Remko,Zyda
Senior Staff,10947,Gor,Usery
Senior Engineer,10948,Shigehito,Brodie
Senior Staff,10949,Shigeichiro,Wroclawski
Engineer,10956,Arno,Picel
Senior Staff,10965,Eckart,Braunschweig
Senior Engineer,10969,Premal,Noriega
Technique Leader,10971,Isamu,Vadhan
Senior Engineer,10974,Muneo,Papsdorf
Engineer,10985,Chiradeep,Furedi
Technique Leader,10986,Masako,Schiper
Engineer,10987,Flemming,Baezner
Senior Engineer,10988,Chinya,Deyuan
Senior Staff,10989,Sumali,Candan
Technique Leader,10990,Shin,Foote
Senior Staff,10996,Matk,Rahimi
Senior Staff,11002,Bluma,Ulupinar
Senior Engineer,11004,JoAnna,Decleir
Senior Staff,11009,Alper,Axelband
Staff,11012,Taegyun,Speckmann
Senior Engineer,11019,Leon,Huttel
Staff,11021,Srinidhi,Henders
Staff,11024,Manton,Collavizza
Senior Engineer,11027,Remzi,Cappello
Senior Engineer,11028,Miyeon,Krider
Senior Staff,11031,Ottavia,Walstra
Staff,11032,Erez,Schaaf
Senior Engineer,11037,Lansing,Maliniak
Senior Staff,11038,Jinya,Beidas
Senior Engineer,11042,Gou,Breugel
Senior Staff,11048,Jaques,Demke
Senior Staff,11050,Elvis,Katiyar
Senior Engineer,11051,Przemyslawa,Erol
Staff,11056,Palash,Speel
Staff,11060,Genevieve,Pokrovskii
Senior Staff,11061,Pintsang,Erni
Senior Engineer,11064,Shawna,Vieri
Senior Staff,11066,Shaz,Langford
Senior Engineer,11070,Adib,Raney
Senior Engineer,11071,Kwan,Sigstam
Senior Engineer,11075,Karsten,Belinskaya
Senior Staff,11077,Hideyuki,Merro
Senior Engineer,11079,Piyush,Garigliano
Senior Staff,11081,Barry,Boyle
Senior Staff,11083,Shimshon,Ducloy
Senior Engineer,11084,Greger,Senzako
Senior Engineer,11085,Hailing,Thummel
Senior Engineer,11087,Changho,Jayawardene
Senior Staff,11089,Conal,Henders
Engineer,11091,Souichi,Ramsay
Staff,11092,Narain,Stamatiou
Engineer,11098,Arnd,Covnot
Senior Staff,11100,Berna,Cochrane
Senior Engineer,11106,Aris,Iwayama
Staff,11110,Valeska,Birjandi
Assistant Engineer,11111,Udi,Zastre
Staff,11112,Boaz,Mukaidono
Senior Staff,11113,Shahab,Peng
Staff,11114,Tse,Felcyn
Engineer,11119,Ramzi,Luga
Senior Engineer,11121,Vugranam,Kakkad
Senior Staff,11130,Xinyu,Menhoudj
Senior Engineer,11132,Kristin,Harnett
Technique Leader,11133,Nalini,Azulay
Senior Engineer,11134,Sachar,Rajcani
Engineer,11137,Hugh,Luca
Senior Staff,11139,Bogdan,Homond
Engineer,11143,Yongdong,Rosen
Senior Staff,11144,Carrsten,Heinisuo
Engineer,11145,Jinxi,Baak
Senior Staff,11146,Ishfaq,Masand
Engineer,11147,Ayonca,Nitsch
Senior Staff,11148,Zhanqiu,Botman
Staff,11156,Tomoyuki,Armand
Senior Engineer,11158,Masaki,Hagimont
Senior Engineer,11162,Kauko,Narlikar
Senior Staff,11168,Shmuel,Tetzlaff
Senior Engineer,11170,Minghong,Cannard
Engineer,11174,Akhilish,Milicia
Senior Engineer,11177,Chrisa,dAstous
Senior Engineer,11180,Mitsuyuki,Bojadziev
Engineer,11181,Hausi,Cullers
Senior Staff,11185,Aloys,Baezner
Senior Engineer,11186,Kshitij,Stasinski
Senior Staff,11189,Dante,Bodoff
Engineer,11192,Apostol,Bahr
Senior Engineer,11195,Masanao,Lovengreen
Senior Staff,11197,Tadahiro,Fordan
Staff,11201,Jouko,Masaki
Senior Staff,11203,Sakthirel,Yetto
Technique Leader,11204,Diederik,Covnot
Staff,11206,Steen,Sury
Engineer,11207,Saeed,Gips
Technique Leader,11208,Saniya,Valtorta
Senior Engineer,11211,Yurij,Rissland
Technique Leader,11213,Vugranam,Munoz
Senior Engineer,11217,Kellie,Mawatari
Technique Leader,11218,Kirk,Hemaspaandra
Engineer,11221,Alselm,Hammerschmidt
Senior Engineer,11229,Gretta,Ramamoorthy
Senior Staff,11232,Hidefumi,Crelier
Senior Engineer,11233,Sanjit,Waschkowski
Engineer,11240,Kiam,Condotta
Assistant Engineer,11243,Udi,Desikan
Engineer,11249,Randi,Cyre
Senior Staff,11251,Bezalel,Chinal
Senior Engineer,11253,Koldo,Pokrovskii
Staff,11254,Danel,Rindone
Senior Staff,11258,Aris,Maccarone
Senior Engineer,11266,Florina,Rohrbach
Senior Engineer,11267,Shaunak,Zaumen
Senior Engineer,11268,Aimee,Petersohn
Staff,11274,Masanao,Nicolson
Senior Engineer,11275,Hitomi,Eppinger
Senior Staff,11288,Domenico,Eastman
Senior Engineer,11289,Chuanti,Cherinka
Engineer,11290,Visit,Dredge
Senior Engineer,11291,Gino,Glowinski
Senior Engineer,11292,Souichi,Sichman
Senior Engineer,11294,Tru,Segond
Senior Staff,11295,Abdelkader,Lanzelotte
Senior Engineer,11296,Hironobu,Kenevan
Engineer,11297,Geraldo,Levergood
Engineer,11300,Lillian,Fontet
Senior Staff,11301,Mingzeng,Oxenboll
Staff,11302,Shem,Senzako
Staff,11315,Neven,Meriste
Senior Staff,11317,Shigeaki,Hagimont
Assistant Engineer,11319,Pranas,Marrakchi
Senior Staff,11320,Atilio,McAlpine
Senior Engineer,11322,Nathalie,Pocchiola
Senior Engineer,11324,Kauko,Billingsley
Engineer,11325,Samphel,Rossi
Senior Engineer,11326,Munenori,Plesums
Senior Staff,11338,Kwangsub,Hanratty
Senior Engineer,11339,Flemming,Massonet
Senior Engineer,11340,Aris,Bala
Senior Engineer,11343,Susanne,Erez
Senior Engineer,11347,Anneli,Jonsson
Engineer,11349,Yurii,Hammerschmidt
Senior Staff,11360,Fen,Schach
Engineer,11365,Toshimi,Shinomoto
Senior Staff,11372,Susanta,Vilarrasa
Senior Staff,11373,Yongmao,Keohane
Senior Staff,11376,Valery,Suomi
Senior Engineer,11380,Kenroku,Pelc
Engineer,11385,Shiv,Ullian
Senior Engineer,11386,Alselm,Assaf
Engineer,11387,Jordanka,Kalloufi
Senior Engineer,11393,Junsik,Junot
Engineer,11396,Anneke,Servieres
Senior Staff,11398,Oscar,Peir
Staff,11401,Huan,Merey
Technique Leader,11404,Bedrich,Borovoy
Senior Staff,11406,Eberhardt,Gini
Engineer,11410,Gro,Vendrig
Senior Staff,11414,Eishiro,Pearson
Engineer,11415,Sanjiv,Anido
Technique Leader,11417,Anneli,Cyne
Senior Staff,11418,Satosi,Cooley
Senior Staff,11420,Tsutomu,Lalonde
Senior Engineer,11421,Josyula,Msuda
Staff,11423,Guangming,Kopetz
Senior Engineer,11425,Renee,Crelier
Engineer,11428,Remco,Reinhart
Senior Staff,11431,Youngkon,Picht
Senior Staff,11441,Marlo,Aingworth
Senior Engineer,11446,Naftali,Narahara
Senior Engineer,11449,Kotesh,Asser
Senior Engineer,11451,Eben,Rajaraman
Senior Staff,11452,Shigehito,Luby
Senior Staff,11459,Duke,Suomi
Senior Engineer,11460,Mana,Maraist
Senior Engineer,11461,Kish,Cronau
Staff,11468,Navin,Maksimenko
Senior Engineer,11469,Guttorm,Giaccio
Engineer,11474,Gennady,Akazan
Staff,11476,Manton,Yoshizawa
Engineer,11477,Fox,Narahari
Staff,11479,Shridhar,Pleszkun
Senior Staff,11501,Karsten,Ranum
Senior Engineer,11503,Nathan,Picht
Staff,11506,Rance,Picel
Senior Engineer,11509,Aleksander,Feldhoffer
Senior Staff,11513,Otmar,Mahnke
Staff,11515,Ulf,Basawa
Senior Staff,11518,Jinxi,Oxman
Senior Staff,11519,Halsur,Chinen
Staff,11521,Eldridge,Eastman
Engineer,11523,Yuguang,Pezzoli
Senior Engineer,11524,Xiadong,Standera
Senior Staff,11526,Tonny,Impagliazzo
Staff,11527,Alagu,Boyle
Technique Leader,11528,Zito,Dolinsky
Technique Leader,11531,Radhika,Motley
Technique Leader,11533,Vitaly,Lorch
Senior Staff,11537,DAIDA,Pehl
Senior Engineer,11540,Chanjung,Portugali
Staff,11554,Subhash,Taubenfeld
Senior Staff,11555,Kotesh,Perfilyeva
Engineer,11562,Rimli,Alencar
Senior Staff,11567,Teiji,Mitzlaff
Senior Engineer,11568,Martins,Fujisaki
Senior Engineer,11573,Pranas,Hutton
Engineer,11575,Godehard,Plotkin
Senior Engineer,11577,Mayumi,Deyuan
Senior Engineer,11578,Edwin,Rosti
Senior Engineer,11581,Patricio,Rosenbaum
Senior Engineer,11587,Shem,Zambonelli
Senior Staff,11588,Kaijung,Panangaden
Senior Engineer,11589,Gina,Plessier
Senior Staff,11595,Takanari,Kamber
Staff,11596,Yannik,Gunderson
Senior Engineer,11597,Yongdong,Talmon
Senior Staff,11602,Somnath,Malabarba
Senior Staff,11603,Herb,Swen
Senior Staff,11606,Perry,Pepe
Engineer,11607,Tomokazu,Foong
Senior Staff,11615,Shem,Isaak
Engineer,11616,Zhilian,Brendel
Senior Engineer,11624,Adil,Gammage
Senior Engineer,11628,Fan,Malinowski
Engineer,11636,Fumitaka,Shiratori
Senior Engineer,11640,Valeri,Coorg
Senior Engineer,11641,Chikako,Rothenberg
Assistant Engineer,11644,Sanjit,Zaiane
Engineer,11646,Lobel,Rubsam
Senior Engineer,11647,Magy,Nitsche
Technique Leader,11649,Shen,Bernardinello
Senior Staff,11660,Gill,Stenning
Senior Staff,11664,Oksana,Brizzi
Senior Staff,11667,Kristian,Marchegay
Technique Leader,11673,Henk,Felder
Engineer,11676,Valeri,Ferriere
Senior Engineer,11681,Fumitake,Benzmuller
Senior Staff,11684,Oksana,Gide
Senior Staff,11686,Nadjib,Srimani
Staff,11690,Domenick,Raczkowsky
Senior Engineer,11693,Hideo,Coorg
Senior Staff,11696,Dante,Rothe
Senior Staff,11705,Arve,Hofmeyr
Staff,11708,Chenye,Angot
Senior Engineer,11713,Danel,Heusch
Senior Engineer,11732,Sanjoy,Ranft
Senior Engineer,11733,Leszek,Sudbeck
Senior Staff,11735,Amalendu,Picci
Senior Engineer,11736,Shugo,Uchoa
Assistant Engineer,11737,Martina,Garnier
Senior Engineer,11738,Tadahiro,Lichtman
Senior Staff,11746,Koichi,Marrakchi
Senior Staff,11747,Aksel,Kossowski
Engineer,11748,Lihong,Massonet
Senior Staff,11751,Jiafu,Emiris
Senior Staff,11755,Zhenbing,Karner
Engineer,11756,Abdelwaheb,Vakili
Engineer,11763,Yuriy,Liesche
Senior Engineer,11764,Sanjay,Anick
Senior Staff,11765,Zorica,Junet
Senior Staff,11769,Chandrasekaran,Lampe
Senior Engineer,11770,Arumugam,Jakobus
Engineer,11772,Gaurav,Penz
Engineer,11774,Aron,Wroclawski
Senior Engineer,11778,Dhritiman,Fontan
Staff,11779,Shunichi,Thombley
Senior Engineer,11791,Gal,Mamelak
Senior Staff,11797,Chenxi,Thambidurai
Senior Staff,11801,Tommaso,Dayang
Assistant Engineer,11805,Rosine,Grandbois
Technique Leader,11807,Chriss,Binding
Senior Engineer,11810,Amabile,Bhattacharjee
Senior Staff,11811,Herb,Boissier
Staff,11813,Gita,Muhlberg
Staff,11814,Manohar,Shinomoto
Senior Staff,11817,Niranjan,Markovitch
Senior Engineer,11821,Mary,Piazza
Staff,11822,Sastry,Madeira
Senior Engineer,11823,Weiyi,Iacovou
Assistant Engineer,11829,Chaosheng,Pettis
Engineer,11832,Arto,Zlotek
Senior Staff,11836,Ortrud,Bakhtari
Staff,11838,Taiji,Nitta
Staff,11841,Elvia,Bugrara
Senior Staff,11842,Moto,Piazza
Senior Engineer,11844,Shawna,Demeyer
Senior Engineer,11846,Fai,Perly
Senior Engineer,11847,Tzvetan,Brandsma
Senior Staff,11853,Zeljko,Kusakabe
Senior Staff,11857,Divier,Farrag
Senior Engineer,11862,Alejandra,Deville
Staff,11864,Pradeep,Kriebel
Engineer,11868,Kwee,Demke
Engineer,11869,Fumino,Luca
Senior Engineer,11871,Nalini,Sommen
Senior Staff,11872,Cheong,Riexinger
Senior Engineer,11876,Leszek,Kobuchi
Senior Staff,11877,Heng,Sudkamp
Senior Staff,11881,Arra,Staelin
Engineer,11883,Nectarios,Bhattacharjee
Senior Staff,11888,Badri,Azulay
Senior Engineer,11894,Mitchel,Validov
Technique Leader,11896,Shaunak,Benzmuller
Senior Staff,11897,Cordelia,Setlzner
Engineer,11906,Hideo,Boguraev
Senior Engineer,11911,Ashish,Mondadori
Senior Engineer,11915,Miomir,Mawatari
Engineer,11917,Jiakeng,VanScheik
Engineer,11926,Leni,Felcyn
Senior Staff,11931,Gunilla,Chiodo
Senior Engineer,11933,Basil,Erman
Staff,11938,Aruna,Verspoor
Technique Leader,11939,Chinhyun,Basart
Assistant Engineer,11940,Ult,Anido
Senior Engineer,11944,Along,Aumann
Staff,11945,Limsoon,Marakhovsky
Senior Engineer,11948,Yahiko,Nergos
Technique Leader,11949,Martijn,Harbusch
Senior Engineer,11951,Bernt,Haumacher
Engineer,11965,Arup,Morrey
Senior Staff,11972,Sibyl,Beausoleil
Staff,11980,Yechezkel,Pews
Senior Engineer,11983,Jaana,Hedayat
Senior Staff,11987,Vidya,Schaar
Senior Engineer,11988,Chinya,Chinin
Technique Leader,11989,Erzsebet,Peltason
Senior Staff,11993,Marit,Dalphin
Senior Staff,11994,Sigeru,Fiebach
Staff,11997,Heon,Mawatari
Senior Engineer,12007,Marko,Dehkordi
Engineer,12008,Frederique,Zykh
Senior Staff,12011,Zhilian,Coorg
Staff,12015,Kensei,Guenter
Senior Engineer,12021,Chikara,Rahimi
Technique Leader,12023,Chuanyi,Eppinger
Staff,12024,Mayumi,Lanzelotte
Staff,12025,Jaewoo,Heiserman
Senior Engineer,12028,Ingemar,Walstra
Staff,12030,Shuky,Cromarty
Engineer,12033,Visit,Serot
Staff,12034,Aemilian,Piazza
Senior Staff,12036,Mads,Ratzlaff
Senior Staff,12037,Arunas,Katzenelson
Senior Staff,12040,Bluma,Kermarrec
Staff,12043,Masaki,Lubachevsky
Senior Engineer,12044,Rance,Hemaspaandra
Assistant Engineer,12047,Jordanka,Ligten
Engineer,12050,Yuchang,Tchuente
Technique Leader,12052,Masako,Khasidashvili
Senior Engineer,12053,Yechezkel,Pelc
Staff,12054,Odysseas,Braccini
Staff,12055,Rutger,Kilgore
Technique Leader,12060,Toshimi,Antonakopoulos
Senior Staff,12062,Margareta,Worfolk
Senior Engineer,12063,Lein,Bale
Senior Engineer,12069,Ayonca,Burnard
Technique Leader,12070,Ger,Shokrollahi
Senior Staff,12076,Karlis,Siprelle
Senior Engineer,12077,Steve,Hutton
Senior Staff,12080,Panayotis,Feinberg
Senior Staff,12082,Xinan,Yamaashi
Engineer,12087,Weijing,Jumpertz
Senior Staff,12089,Bilhanan,Socorro
Engineer,12090,Shigenori,Angelopoulos
Senior Engineer,12091,Lansing,Cunliffe
Senior Staff,12092,Kauko,Unno
Senior Engineer,12093,Evgueni,Oxenboll
Senior Staff,12094,Weiru,Pearson
Senior Engineer,12095,Fai,Smeets
Senior Staff,12099,Nobuyoshi,Kuzuoka
Staff,12102,Aron,Erde
Staff,12103,Becky,Erie
Senior Engineer,12104,Dulce,Kohling
Senior Staff,12112,Satyanarayana,Avouris
Staff,12114,Shiv,Rubsam
Senior Engineer,12122,Satoru,Krone
Senior Staff,12123,Xiahua,Syrzycki
Engineer,12125,Shounak,Erman
Staff,12128,Yannik,Barreiro
Engineer,12138,Takahito,Brender
Senior Staff,12140,Xudong,Paciorek
Assistant Engineer,12148,Hidde,Garigliano
Senior Staff,12149,Suebskul,Grandbois
Senior Engineer,12159,Shem,Perly
Senior Staff,12160,Aamer,Garrabrants
Engineer,12164,Muneo,Chachaty
Senior Engineer,12165,Xiaobin,Maquelin
Senior Staff,12168,Arnd,Salverda
Senior Staff,12172,Jianhua,Llado
Senior Engineer,12173,Adel,Nanard
Senior Engineer,12174,Slavian,Plavsic
Engineer,12183,Harngdar,Iisaku
Senior Staff,12186,Guther,Nooteboom
Senior Engineer,12190,Abdulah,Engberts
Engineer,12191,Rosella,Bazzichi
Senior Engineer,12192,Feiyu,Klyachko
Senior Engineer,12205,Sushant,Rossi
Senior Engineer,12206,Barton,Janetzko
Senior Staff,12210,Vugranam,Ashish
Senior Staff,12213,Kwangho,Brizzi
Engineer,12216,Aloke,Mansanne
Senior Engineer,12218,Yaghout,Strooper
Senior Staff,12219,Junsik,Gadepally
Senior Engineer,12221,Vincent,Melter
Senior Staff,12222,Abdelwaheb,Holburn
Senior Engineer,12223,Niteen,Koyama
Engineer,12230,Yuriy,Bellone
Senior Engineer,12231,Nishit,Bharadwaj
Staff,12235,Honesty,Haumacher
Engineer,12242,Satoru,Wolniewicz
Technique Leader,12247,Subbu,Penttonen
Senior Engineer,12249,Eldridge,Sadowski
Senior Engineer,12250,Kerhong,Aloia
Engineer,12254,Chaitali,Stafford
Senior Staff,12256,Guadalupe,Reghbati
Senior Engineer,12258,Kankanahalli,Eiter
Engineer,12264,Mart,Pagter
Senior Engineer,12269,Mohammed,Whitcomb
